movieId,title
1,Toy Story (1995)
2,Jumanji (1995)
3,Grumpier Old Men (1995)
4,Waiting to Exhale (1995)
5,Father of the Bride Part II (1995)
6,Heat (1995)
7,Seven (a.k.a. Se7en) (1995)
8,Usual Suspects
9,Mighty Aphrodite (1995)
10,Postino
11,Jurassic Park (1993)
12,Shawshank Redemption
13,Pulp Fiction (1994)
14,Forrest Gump (1994)
15,Silence of the Lambs
16,Aladdin (1992)
17,Beauty and the Beast (1991)
18,Lion King
19,Fugitive
20,Braveheart (1995)
21,Apollo 13 (1995)
22,Toy Story 2 (1999)
23,Matrix
24,American Beauty (1999)
25,Gladiator (2000)
26,Crouching Tiger
27,Lord of the Rings: The Fellowship of the Ring
28,Lord of the Rings: The Two Towers
29,Lord of the Rings: The Return of the King
30,Finding Nemo (2003)
31,Incredibles
32,Shrek (2001)
33,Shrek 2 (2004)
34,Harry Potter and the Sorcerer's Stone (2001)
35,Harry Potter and the Chamber of Secrets (2002)
36,Harry Potter and the Prisoner of Azkaban (2004)
37,Harry Potter and the Goblet of Fire (2005)
38,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
39,Pirates of the Caribbean: Dead Man's Chest (2006)
40,Pirates of the Caribbean: At World's End (2007)
41,Star Wars: Episode IV - A New Hope (1977)
42,Star Wars: Episode V - The Empire Strikes Back (1980)
43,Star Wars: Episode VI - Return of the Jedi (1983)
44,Star Wars: Episode I - The Phantom Menace (1999)
45,Star Wars: Episode II - Attack of the Clones (2002)
46,Star Wars: Episode III - Revenge of the Sith (2005)
47,Avatar (2009)
48,Avengers
49,Avengers: Age of Ultron (2015)
50,Avengers: Infinity War (2018)
51,Avengers: Endgame (2019)
52,Iron Man (2008)
53,Iron Man 2 (2010)
54,Iron Man 3 (2013)
55,Thor (2011)
56,Thor: The Dark World (2013)
57,Thor: Ragnarok (2017)
58,Black Panther (2018)
59,Guardians of the Galaxy (2014)
60,Guardians of the Galaxy Vol. 2 (2017)
61,Doctor Strange (2016)
62,Captain America: The First Avenger (2011)
63,Captain America: The Winter Soldier (2014)
64,Captain America: Civil War (2016)
65,Spider-Man (2002)
66,Spider-Man 2 (2004)
67,Spider-Man 3 (2007)
68,Spider-Man: Homecoming (2017)
69,Spider-Man: Far From Home (2019)
70,Black Widow (2021)
71,Eternals (2021)
72,Shang-Chi and the Legend of the Ten Rings (2021)
73,No Time to Die (2021)
74,F9: The Fast Saga (2021)
75,Furious 7 (2015)
76,Fate of the Furious
77,Hobbit: An Unexpected Journey
78,Hobbit: The Desolation of Smaug
79,Hobbit: The Battle of the Five Armies
80,Dunkirk (2017)
81,Tenet (2020)
82,Inception (2010)
83,Interstellar (2014)
84,Dark Knight
85,Dark Knight Rises
86,Batman Begins (2005)
87,Man of Steel (2013)
88,Batman v Superman: Dawn of Justice (2016)
89,Justice League (2017)
90,Zack Snyder's Justice League (2021)
91,Aquaman (2018)
92,Wonder Woman (2017)
93,Wonder Woman 1984 (2020)
94,Suicide Squad (2016)
95,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) (2020)
96,Matrix Reloaded
97,Matrix Revolutions
98,John Wick (2014)
99,John Wick: Chapter 2 (2017)
100,John Wick: Chapter 3 - Parabellum (2019)
101,John Wick: Chapter 4 (2023)
102,Knives Out (2019)
103,Knives Out 2 (2022)
104,Mission: Impossible - Fallout (2018)
105,Mission: Impossible - Rogue Nation (2015)
106,Edge of Tomorrow (2014)
107,Top Gun (1986)
108,Top Gun: Maverick (2022)
109,Mad Max: Fury Road (2015)
110,Blade Runner 2049 (2017)
111,Sicario (2015)
112,Arrival (2016)
113,Prisoners (2013)
114,Gone Girl (2014)
115,Fight Club (1999)
116,Social Network
117,Zodiac (2007)
118,Seven (a.k.a. Se7en) (1995)
119,Gone with the Wind (1939)
120,Casablanca (1942)
