userId,movieId,rating
1,1,4
1,3,4
1,6,2
2,1,5
2,2,3
2,3,4
3,2,5
3,4,4
3,6,2
4,1,3
4,2,4.5
4,5,2.5
4,6,3
5,1,4.5
5,3,3.5
5,5,4
5,6,4.5
6,2,3.5
6,3,2.5
6,4,5
6,5,3.5
7,1,4
7,3,5
7,4,3
7,5,2.5
8,1,3.5
8,2,4
8,3,4.5
8,5,3
8,6,4
9,1,4
9,2,2
9,4,3.5
9,5,5
10,2,4.5
10,3,3
10,4,3.5
10,5,4
10,6,2
11,1,3.5
11,3,4
11,4,4.5
11,5,2.5
12,1,5
12,2,4
12,4,3
12,5,3.5
13,2,3.5
13,3,5
13,5,4
13,6,3
14,1,4.5
14,3,3.5
14,4,5
14,5,3.5
15,2,2.5
15,3,4.5
15,4,3
15,6,5
16,1,3
16,2,4.5
16,3,2
16,5,4.5
17,1,4
17,2,3.5
17,4,4
17,5,2.5
17,6,3.5
18,3,4.5
18,4,3
18,5,4
18,6,3
19,1,4.5
19,2,3
19,4,5
19,6,4
20,2,3.5
20,3,2.5
20,5,4
20,6,3
21,1,5
21,3,3.5
21,4,2.5
21,5,4.5
22,1,4
22,2,3.5
22,3,5
22,6,4
23,2,4.5
23,4,3
23,5,4
23,6,2.5
24,1,3
24,2,4
24,3,2.5
24,5,5
25,1,4.5
25,4,3.5
25,5,4
25,6,3
26,2,5
26,3,4
26,5,3
26,6,4.5
27,1,3.5
27,2,4
27,4,5
27,5,3.5
28,3,4.5
28,4,3
28,5,2.5
28,6,4
29,1,4.5
29,2,3
29,4,5
29,6,4
30,2,4.5
30,3,3.5
30,5,4
30,6,3
31,1,5
31,3,3.5
31,4,2.5
31,5,4.5
32,1,4
32,2,3.5
32,3,5
32,6,4
33,2,4.5
33,4,3
33,5,4
33,6,2.5
34,1,3
34,2,4
34,3,2.5
34,5,5
35,1,4.5
35,4,3.5
35,5,4
35,6,3
36,2,5
36,3,4
36,5,3
36,6,4.5
37,1,3.5
37,2,4
37,4,5
37,5,3.5
38,3,4.5
38,4,3
38,5,2.5
38,6,4
39,1,4.5
39,2,3
39,4,5
39,6,4
40,2,4.5
40,3,3.5
40,5,4
40,6,3
41,1,5
41,3,3.5
41,4,2.5
41,5,4.5
42,1,4
42,2,3.5
42,3,5
42,6,4
43,2,4.5
43,4,3
43,5,4
43,6,2.5
44,1,3
44,2,4
44,3,2.5
44,5,5
45,1,4.5
45,4,3.5
45,5,4
45,6,3
46,2,5
46,3,4
46,5,3
46,6,4.5
47,1,3.5
47,2,4
47,4,5
47,5,3.5
48,3,4.5
48,4,3
48,5,2.5
48,6,4
49,1,4.5
49,2,3
49,4,5
49,6,4
50,2,4.5
50,3,3.5
50,5,4
50,6,3
